text,label,label_id
能说一下这个导电回路的设备组成吗?,设备组成,0
这个电晕会对设备产生什么不利影响?,后果,4
这个问题可能会造成什么条痕?,后果,4
这个问题可能引发什么样的急剧磨损?,后果,4
这种绝缘典型缺陷的表现有多严重?,故障,3
这款高低压厂用变压器主要是由什么设备构成的?,设备组成,0
定子线棒一般都有些什么设备?,设备组成,0
能详细描述一下这个集电环绝缘偏低的情况吗?,故障,3
你能介绍一下这个局部放电的常见情况吗?,故障,3
功率柜故障会在设备哪个部分出现?,故障,3
发生这个故障会带来怎样的监控系统报警?,后果,4
哪种清理干净引线处理段是最常用的解决方法?,方法,2
这个绕组接地通常出现在哪些情况下?,故障,3
这款电力电缆是由哪些设备组成的?,设备组成,0
为什么会有这个故障，设备受潮、脏污是什么主要原因?,原因,1
这个故障通常是由什么无供电电源引起的?,原因,1
这个接触电阻过大会对设备的运行产生什么影响?,故障,3
有没有检查监控流程及相关控制方式是否正确是特别推荐的来应对这个故障?,方法,2
会出现这个故障会有什么绝缘设计裕度不够?,后果,4
这个拒分、拒合会对设备产生什么不利影响?,后果,4
这个电压互感器出现异声和异常振动对设备可能会有什么后果?,后果,4
这个问题的电晕可能是什么?,后果,4
这个问题会导致什么电力系统造成很大的冲击?,后果,4
这个问题发生了会有什么急剧磨损?,后果,4
哪种对于可能存在的漏气部位(如法兰连接处、气路接头、伸缩节等)进行检漏，找到漏点后进行封堵是最常用的解决方法?,方法,2
这个问题的发电机长期停用受潮是什么?,原因,1
这个问题会导致什么严重渗漏?,后果,4
你能介绍一下这个集电环表面损蚀故障的常见情况吗?,故障,3
直流电源回路是由什么设备构成的?,设备组成,0
这个误强励的表现有哪些特点?,故障,3
这个操动机构拒合对工作会有怎样的影响?,后果,4
有没有检查测温回路是否正常并可通过模拟加热方式检测是特别推荐的来应对这个故障?,方法,2
这个二次回路具体由哪些设备构成?,设备组成,0
能告诉我这个励磁系统的设备组成吗?,设备组成,0
请问，这个真空泡真空度降低通常会表现为何种情况?,故障,3
这个控制回路所含的设备有哪些?,设备组成,0
有什么检查回路有工作时触动过的部位可以用来解决这个故障?,方法,2
能介绍一下这个干式变压器的设备组成情况吗?,设备组成,0
水轮发电机集电环损蚀一般会在哪些情况下发生?,故障,3
真空断路器通常包含什么设备?,设备组成,0
这个问题的最佳发现异常进行调整，对有变形的连杆，应查明原因及时消除;在现场操作，当出现隔离开关合不到位或三相不同期时，应拉开重合，反复几次操作时应符合要求，用力适当;如果还未合到位，不能达到三相完全同期，应安排计划停电检修是什么?,方法,2
这种调速器的设备组成是怎么样的?,设备组成,0
这个铁损会对设备造成什么影响?,故障,3
用什么更换可以解决这个故障?,方法,2
这个问题发生了会有什么拒分?,后果,4
定子绕组接头里面有哪些设备呢?,设备组成,0
这个故障一般用什么找到漏点后进行封堵来解决?,方法,2
这个严重渗漏是什么?,后果,4
这个对机组安全运行造成直接威胁会对工作产生什么样的影响?,后果,4
这个问题可能会造成什么油流带电?,后果,4
通常会有什么不同绝缘油混用导致这个故障?,原因,1
这个问题可能会造成什么监控系统报警?,后果,4
有什么推测固体绝缘老化趋势可以用来解决这个故障?,方法,2
为什么发生了这个故障，加速氧化是什么?,原因,1
这个发电机出口断路器操动机构不能储能通常出现在哪些设备上?,故障,3
这个故障的测量回路接触不良是什么情况?,原因,1
这个直流电源回路所含的设备有哪些?,设备组成,0
对于这个故障，有没有特别推荐的分析事故原因?,方法,2
你能说说这个机械故障通常会出现什么情况吗?,故障,3
能否介绍一下针对这个故障的绕组直流电阻测试?,方法,2
这个铁芯整体松动通常表现为何种状况?,故障,3
这个电压互感器出现异声和异常振动对设备会造成什么样的影响?,后果,4
这个故障一般用什么对接线端子等外部元件松动、接触不良的，应进行紧固等处理来解决?,方法,2
这个电流互感器运行声音变大会对设备造成什么影响?,故障,3
